timestamp,cpu_usage,cpu_freq,ram_usage,temp
1777808871.503553,0.0,1500.0,14.1,53.45
1777808872.5042548,0.0,1500.0,14.1,54.55
1777808873.504991,0.0,1500.0,14.1,54.55
1777808874.5057175,0.0,1500.0,14.1,53.45
1777808875.5064635,0.0,1500.0,14.1,53.45
1777808876.507232,0.0,1500.0,14.1,53.45
1777808877.5079575,0.0,1500.0,14.1,51.8
1777808878.508683,0.2,1500.0,14.1,51.8
1777808879.5094032,0.0,1500.0,14.1,51.8
1777808880.5101311,0.0,1500.0,14.1,51.8
1777808881.5108593,0.0,1500.0,14.1,52.9
1777808882.5116813,0.0,1500.0,14.1,51.25
1777808883.5124326,0.0,1500.0,14.1,50.7
1777808884.513161,0.0,1500.0,14.1,51.8
1777808885.513892,0.0,1500.0,14.1,51.25
1777808886.5146403,0.0,1500.0,13.8,51.25
1777808887.5154514,0.0,1500.0,13.8,50.7
1777808888.5162413,0.0,1500.0,13.8,50.7
1777808889.5170307,0.2,1600.0,13.7,50.7
1777808890.5178356,0.3,1600.0,13.7,50.15
1777808891.5206187,0.0,1500.0,13.7,50.15
1777808892.521388,0.0,1500.0,13.7,50.7
1777808893.5221453,0.0,1500.0,13.7,50.15
1777808894.5229163,0.0,1500.0,13.7,49.6
1777808895.5236547,0.0,1500.0,13.7,49.6
1777808896.5243907,0.0,1500.0,13.7,51.25
1777808897.5251272,0.0,1500.0,13.6,50.7
1777808898.5258565,0.0,1500.0,13.6,50.15
1777808899.5265656,0.0,1500.0,13.7,50.7
1777808900.5273128,0.0,1500.0,13.7,49.05
1777808901.5280228,0.0,1500.0,13.6,50.15
1777808902.5287452,0.0,1500.0,13.6,50.7
1777808903.5294607,0.0,1500.0,13.6,49.6
1777808904.530178,0.0,1500.0,13.6,50.7
1777808905.5308838,0.0,1500.0,13.6,50.7
1777808906.5316145,0.0,1500.0,13.6,49.05
1777808907.5323448,0.0,1500.0,13.6,50.7
1777808908.5330675,0.0,1500.0,13.6,50.7
1777808909.5337923,0.0,1500.0,13.6,49.05
1777808910.534504,0.0,1500.0,13.6,47.95
1777808911.5352144,0.0,1500.0,13.6,50.15
1777808912.5359654,0.0,1500.0,13.6,50.7
1777808913.5366807,0.2,1500.0,13.6,48.5
